cohort,mortality_available,standardization,state_definition,state,n,percent,population
elsa,False,fixed,matched_0.20,joint,5732,6.719654873273781,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.20,unimpaired,57415,67.30791775104922,living_domain_states_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.20,cognitive_only,22122,12.188295445780211,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.20,functional_only,23263,12.816938656323346,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.20,joint,13622,7.505151458386133,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.20,unimpaired,122495,67.4896144395103,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.20,cognitive_only,5058,14.113510798593671,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.20,functional_only,1839,5.131424744684413,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.20,joint,2184,6.094090071990625,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.20,unimpaired,26757,74.66097438473129,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.20,cognitive_only,9186,13.908066860465116,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.20,functional_only,7082,10.72250484496124,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.20,joint,4032,6.104651162790698,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.20,unimpaired,45748,69.26477713178295,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.20,cognitive_only,32466,13.486030456346734,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.20,functional_only,22839,9.487077237494704,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.20,joint,15769,6.5502745723566695,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.20,unimpaired,169664,70.47661773380189,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.25,cognitive_only,10419,15.130480242807975,five_state_including_validated_death
charls,True,fixed,matched_0.25,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,fixed,matched_0.25,functional_only,9452,13.72620205922075,five_state_including_validated_death
charls,True,fixed,matched_0.25,joint,6085,8.836641930846197,five_state_including_validated_death
charls,True,fixed,matched_0.25,unimpaired,40076,58.19839967470702,five_state_including_validated_death
elsa,False,fixed,matched_0.25,cognitive_only,13158,15.425195188858408,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.25,functional_only,12468,14.616304424280791,four_state_mortality_endpoint_unavailable
