analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,n_total,clusters_total,mortality_availability_by_cohort,scale
klosa_adl_only_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.04580999984501651,0.02435912033339924,0.06726087935663379,-0.005478329963485025,0.09709832965351806,0.0002716042511009058,74.1358365084877,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",361564,130672,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:False,beta
klosa_adl_only_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.05257783124845424,0.03027181713293994,0.07488384536396854,0.00466460295099904,0.10049105954590945,0.00022250788995891005,54.60511564920366,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",361564,130672,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:False,beta
klosa_adl_only_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.09473808047388707,0.081127230601479,0.10834893034629514,0.07271044286793127,0.11676571807984287,3.490902630950442e-05,33.72614127031778,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",361564,130672,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:False,beta
klosa_adl_only_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.0065287178189595,0.9463753691675674,1.0705055232844896,0.858112626834228,1.180614325105359,0.002726672243341388,81.76920809154336,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",267300,107435,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:True,odds_ratio
klosa_adl_only_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.342355398550293,1.2805473289355374,1.407146753033307,1.2022954138042814,1.498731505858048,0.001238919287368739,61.61397412420677,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",267300,107435,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:True,odds_ratio
temporal_boundary_landmark,base,continuous,fixed,False,cognitive_delayed_slope,pre_cmm4_slope,pre_cmm4_slope,person_level_early_cmm_accumulation_to_later_domain_slope,living_participants_with_four_or_more_observed_waves,5,0.03133178513924269,0.015193377493669443,0.04747019278481593,0.012833448655417967,0.04983012162306741,0.0,0.0,"charls,elsa,hrs,klosa,share","charls:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;elsa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;hrs:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;klosa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;share:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years",62417,62417,charls:False;elsa:False;hrs:False;klosa:False;share:False,beta
temporal_boundary_landmark,base,continuous,fixed,False,functional_delayed_slope,pre_cmm4_slope,pre_cmm4_slope,person_level_early_cmm_accumulation_to_later_domain_slope,living_participants_with_four_or_more_observed_waves,5,0.015963569800965062,-0.0025449037727563045,0.03447204337468643,-0.005251408745111586,0.03717854834704171,0.0,0.0,"charls,elsa,hrs,klosa,share","charls:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;elsa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;hrs:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;klosa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;share:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years",62417,62417,charls:False;elsa:False;hrs:False;klosa:False;share:False,beta
temporal_boundary_landmark,base,continuous,fixed,False,mean_delayed_slope,pre_cmm4_slope,pre_cmm4_slope,person_level_early_cmm_accumulation_to_later_domain_slope,living_participants_with_four_or_more_observed_waves,5,0.02367886093396534,0.010460056553734949,0.03689766531419573,0.008527063017494244,0.038830658850436434,0.0,0.0,"charls,elsa,hrs,klosa,share","charls:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;elsa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;hrs:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;klosa:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years;share:baseline_cmm4,baseline_cognition_post,baseline_function_post,age,sex,education,pre_years,post_years",62417,62417,charls:False;elsa:False;hrs:False;klosa:False;share:False,beta
transition_gee,mental_health,reference_locked_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.0098425318703823,0.9490695784010271,1.0745070355036472,0.8597354987477835,1.1861577667314078,0.002776453787702169,81.34773944218969,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",268016,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
transition_gee,mental_health,reference_locked_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.342962232343909,1.3083752186023812,1.3784635568294408,1.3056441741061273,1.3813469192223706,0.0,25.78267060564422,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",268016,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
transition_gee,mental_health,reference_locked_0.20,fixed,False,cognitive_only,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,0.9574442193672597,0.884606827534342,1.0362789486430835,0.7784917459945665,1.177532630135528,0.0046062321065683445,83.0775006009859,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",268016,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
transition_gee,mental_health,reference_locked_0.20,fixed,False,functional_only,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.3522367104167632,1.3045721923882758,1.4016427236972144,1.2637157551733584,1.4469583951241527,0.0003997520904208553,40.75304602629717,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",268016,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
