cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,registered_model_cell,successful_target_terms,failed_or_skipped_models,completion_status
hrs,continuous_gee_ipcw,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_ipcw,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_central_cohort_iqr,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_central_cohort_iqr,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_gt_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_gt_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_le_1.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_interval_le_1.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_source_metric_wave_fe,mental_health,continuous,source_total_or_fixed_reference_item_z_mean,False,cognitive_worsening_source_metric,cmm4_change_raw,True,1,0,estimated
hrs,continuous_source_metric_wave_fe,mental_health,continuous,source_total_or_fixed_reference_item_z_mean,False,functional_worsening_source_metric,cmm4_change_raw,True,1,0,estimated
hrs,continuous_sustained_diagnosis,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_sustained_raw,True,1,0,estimated
hrs,continuous_sustained_diagnosis,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_sustained_raw,True,1,0,estimated
hrs,continuous_sustained_diagnosis,base,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_sustained_raw,True,1,0,estimated
hrs,continuous_sustained_diagnosis,base,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_sustained_raw,True,1,0,estimated
hrs,transition_gee,base,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
hrs,transition_gee,base,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
hrs,transition_gee,lifestyle,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
hrs,transition_gee,lifestyle,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
hrs,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,0,1,failed_or_skipped
hrs,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,True,0,1,failed_or_skipped
hrs,transition_gee,mental_health,legacy,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
hrs,transition_gee,mental_health,legacy,fixed,False,any_functional,cmm4_start,True,1,0,estimated
hrs,transition_gee,mental_health,legacy,fixed,False,cognitive_only,cmm4_start,True,1,0,estimated
