cohort,mortality_available,standardization,state_definition,persistent,state_from,origin_intervals,origin_percent
elsa,False,wave,matched_0.15,True,cognitive_only,4162,8.644180443632134
elsa,False,wave,matched_0.15,True,functional_only,4430,9.200797540915511
elsa,False,wave,matched_0.15,True,joint,1144,2.3760073107917257
elsa,False,wave,matched_0.15,True,unimpaired,38412,79.77901470466063
hrs,True,wave,matched_0.15,True,cognitive_only,8803,8.237881340071121
hrs,True,wave,matched_0.15,True,functional_only,8145,7.622122403144301
hrs,True,wave,matched_0.15,True,joint,2712,2.5379000561482314
hrs,True,wave,matched_0.15,True,unimpaired,87200,81.60209620063635
klosa,True,wave,matched_0.15,True,cognitive_only,1553,8.71786235545077
klosa,True,wave,matched_0.15,True,functional_only,978,5.49006399461098
klosa,True,wave,matched_0.15,True,joint,546,3.06500505220613
klosa,True,wave,matched_0.15,True,unimpaired,14737,82.72706859773213
mhas,True,wave,matched_0.15,True,cognitive_only,1651,8.233182067521069
mhas,True,wave,matched_0.15,True,functional_only,1505,7.50511145464519
mhas,True,wave,matched_0.15,True,joint,276,1.376352665436593
mhas,True,wave,matched_0.15,True,unimpaired,16621,82.88535381239714
share,True,wave,matched_0.15,True,cognitive_only,3289,7.864846122575862
share,True,wave,matched_0.15,True,functional_only,4090,9.780243430019848
share,True,wave,matched_0.15,True,joint,1154,2.759511226954255
share,True,wave,matched_0.15,True,unimpaired,33286,79.59539922045003
charls,True,wave,matched_0.20,False,cognitive_only,4010,10.257853269211092
charls,True,wave,matched_0.20,False,functional_only,5340,13.66008390463522
charls,True,wave,matched_0.20,False,joint,1934,4.94730379617313
charls,True,wave,matched_0.20,False,unimpaired,27808,71.13475902998056
elsa,False,wave,matched_0.20,False,cognitive_only,7683,12.103405904407825
elsa,False,wave,matched_0.20,False,functional_only,8134,12.81388827625319
elsa,False,wave,matched_0.20,False,joint,3175,5.001732883833769
elsa,False,wave,matched_0.20,False,unimpaired,44486,70.08097293550522
hrs,True,wave,matched_0.20,False,cognitive_only,17169,11.671572592980333
hrs,True,wave,matched_0.20,False,functional_only,18490,12.569595040142486
hrs,True,wave,matched_0.20,False,joint,9778,6.647133602082922
hrs,True,wave,matched_0.20,False,unimpaired,101664,69.11169876479426
klosa,True,wave,matched_0.20,False,cognitive_only,3985,14.477747502270663
klosa,True,wave,matched_0.20,False,functional_only,1478,5.369663941871027
klosa,True,wave,matched_0.20,False,joint,1664,6.045413260672116
klosa,True,wave,matched_0.20,False,unimpaired,20398,74.1071752951862
mhas,True,wave,matched_0.20,False,cognitive_only,5713,13.761622585151997
mhas,True,wave,matched_0.20,False,functional_only,4516,10.878257937081466
mhas,True,wave,matched_0.20,False,joint,2306,5.554752613576143
mhas,True,wave,matched_0.20,False,unimpaired,28979,69.80536686419039
share,True,wave,matched_0.20,False,cognitive_only,13550,12.635092921550527
share,True,wave,matched_0.20,False,functional_only,10826,10.09501962868679
share,True,wave,matched_0.20,False,joint,7111,6.63085946606242
share,True,wave,matched_0.20,False,unimpaired,75754,70.63902798370026
charls,True,wave,matched_0.20,True,cognitive_only,1629,7.475220264317181
charls,True,wave,matched_0.20,True,functional_only,2768,12.701908957415565
charls,True,wave,matched_0.20,True,joint,615,2.822136563876652
charls,True,wave,matched_0.20,True,unimpaired,16780,77.0007342143906
elsa,False,wave,matched_0.20,True,cognitive_only,5417,11.250726925313616
elsa,False,wave,matched_0.20,True,functional_only,5933,12.322422530530863
elsa,False,wave,matched_0.20,True,joint,1927,4.002243083824873
elsa,False,wave,matched_0.20,True,unimpaired,34871,72.42460746033065
hrs,True,wave,matched_0.20,True,cognitive_only,11156,10.439827812090586
hrs,True,wave,matched_0.20,True,functional_only,12237,11.451431779898932
hrs,True,wave,matched_0.20,True,joint,4784,4.476885644768856
hrs,True,wave,matched_0.20,True,unimpaired,78683,73.63185476324162
klosa,True,wave,matched_0.20,True,cognitive_only,2401,13.478163242393624
klosa,True,wave,matched_0.20,True,functional_only,870,4.883799259009767
